日期,收盤價,開盤價,最高價,最低價
2010-01-04,34.30,34.00,34.40,33.90
2010-01-05,35.50,34.60,35.80,34.50
2010-01-06,36.25,35.50,36.40,35.40
2010-01-07,35.55,36.35,36.40,35.50
2010-01-08,35.40,35.55,35.80,35.15
2010-01-11,34.75,35.40,35.80,34.70
2010-01-12,34.55,34.75,35.25,34.30
2010-01-13,34.00,34.00,34.25,33.90
2010-01-14,34.20,34.50,34.50,34.10
2010-01-15,34.45,34.30,34.45,34.15
2010-01-18,34.20,34.20,34.40,34.10
2010-01-19,34.35,34.35,34.75,34.05
2010-01-20,34.00,34.45,34.50,34.00
2010-01-21,33.90,34.00,34.15,33.90
2010-01-22,31.80,33.55,33.65,31.55
2010-01-25,32.00,31.50,32.05,30.95
2010-01-26,30.40,32.00,32.20,30.00
2010-01-27,30.05,30.70,30.70,29.90
2010-01-28,30.50,30.20,30.95,30.20
2010-02-01,29.50,30.05,30.35,29.45
2010-02-02,29.55,30.00,30.20,29.30
2010-02-03,29.85,30.05,30.30,29.45
2010-02-04,29.95,29.85,30.05,29.60
2010-02-05,28.55,29.10,29.20,28.55
2010-02-06,28.45,28.60,28.70,27.65
2010-02-08,28.30,28.35,28.50,28.10
2010-02-09,28.80,28.15,29.20,28.15
2010-02-10,29.40,29.15,29.85,28.80
2010-02-22,29.80,29.75,30.25,29.75
2010-02-23,30.10,30.00,30.25,29.80
2010-02-24,30.40,30.00,30.55,29.85
2010-02-25,29.40,30.40,30.40,29.20
2010-03-01,30.10,29.85,30.50,29.60
2010-03-02,30.25,30.55,30.55,30.00
2010-03-03,30.40,30.40,30.75,30.30
2010-03-04,30.05,30.80,31.10,29.85
2010-03-05,29.95,30.35,30.60,29.65
2010-03-08,29.75,30.00,30.20,29.70
2010-03-09,29.70,29.75,29.90,29.60
2010-03-10,29.70,29.70,29.75,29.50
2010-03-11,29.65,29.85,29.90,29.65
2010-03-12,29.45,29.65,29.70,29.35
2010-03-15,29.20,29.60,30.20,29.20
2010-03-16,29.20,29.65,29.65,29.00
2010-03-17,29.40,29.60,29.70,29.15
2010-03-18,29.45,29.60,29.65,29.35
2010-03-19,29.85,29.65,29.85,29.40
2010-03-22,29.30,30.00,30.00,29.25
2010-03-23,29.05,29.45,29.50,29.05
2010-03-24,29.45,29.50,29.80,29.35
2010-03-25,29.55,29.55,29.70,29.25
2010-03-26,29.45,29.50,29.65,29.20
2010-03-29,30.00,29.50,30.00,29.45
2010-03-30,30.05,30.20,30.20,29.80
2010-04-01,29.95,30.00,30.15,29.90
2010-04-02,30.15,30.15,30.25,29.95
2010-04-06,30.05,30.20,30.25,30.00
2010-04-07,30.00,30.05,30.20,29.70
2010-04-08,29.60,30.00,30.15,29.50
2010-04-09,29.65,29.60,29.80,29.55
2010-04-12,29.80,30.00,30.15,29.70
2010-04-13,29.80,29.80,30.00,29.65
2010-04-14,29.85,29.90,30.00,29.65
2010-04-15,30.40,30.05,30.40,30.00
2010-04-16,30.05,30.50,30.55,30.00
2010-04-19,28.80,29.80,29.85,28.70
2010-04-20,28.60,29.00,29.10,28.55
2010-04-21,28.45,28.65,28.90,28.25
2010-04-22,28.10,28.35,28.35,28.00
2010-04-23,27.80,28.10,28.20,27.80
2010-04-26,28.80,28.20,28.85,28.20
2010-04-27,28.50,28.80,28.80,28.35
2010-04-28,28.20,27.90,28.35,27.90
2010-04-29,28.30,28.40,28.40,28.00
2010-05-03,28.30,28.30,28.45,27.85
2010-05-04,27.60,28.35,28.45,27.55
2010-05-05,26.30,26.90,26.90,25.70
2010-05-06,25.55,26.30,26.40,25.50
2010-05-07,25.40,24.60,25.40,24.60
2010-05-10,26.60,25.50,27.10,25.50
2010-05-11,26.20,26.80,27.05,26.20
2010-05-12,26.20,26.40,26.60,26.20
2010-05-13,26.90,26.70,27.00,26.50
2010-05-14,26.90,26.80,26.90,26.65
2010-05-17,26.30,26.65,26.70,26.10
2010-05-18,26.45,26.40,26.55,26.25
2010-05-19,27.10,26.35,27.10,26.15
2010-05-20,26.75,27.10,27.20,26.45
2010-05-21,25.95,26.05,26.15,25.60
2010-05-24,26.60,26.00,26.80,26.00
2010-05-25,25.50,26.10,26.35,25.50
2010-05-26,25.85,25.80,26.30,25.60
2010-05-27,26.85,26.40,27.10,26.00
2010-05-28,27.00,27.20,27.35,26.80
2010-06-01,27.35,27.30,27.45,27.05
2010-06-02,27.00,27.15,27.35,26.85
2010-06-03,27.25,27.40,27.40,27.15
2010-06-04,27.05,27.20,27.30,27.00
2010-06-07,26.65,26.20,26.85,26.20
2010-06-08,26.85,26.50,27.00,26.50
2010-06-09,26.80,27.15,27.15,26.75
2010-06-10,27.00,27.00,27.05,26.45
2010-06-11,27.30,27.20,27.45,27.15
2010-06-14,27.40,27.45,27.50,27.25
2010-06-15,27.60,27.40,27.65,27.30
2010-06-17,27.70,27.60,27.80,27.60
2010-06-18,27.80,27.90,28.00,27.50
2010-06-21,28.35,28.40,28.60,28.10
2010-06-22,28.40,28.30,28.50,28.20
2010-06-23,28.10,28.40,28.40,27.90
2010-06-24,28.10,28.00,28.10,27.80
2010-06-25,27.70,27.80,27.80,27.60
2010-06-28,27.60,27.75,27.90,27.60
2010-06-29,27.60,27.95,28.25,27.60
2010-07-01,27.00,27.20,27.20,26.90
2010-07-02,27.40,27.20,27.65,27.10
2010-07-05,28.20,27.60,28.30,27.25
2010-07-06,29.00,28.00,29.05,28.00
2010-07-07,28.55,29.00,29.00,28.50
2010-07-08,28.55,28.80,28.95,28.45
2010-07-09,28.95,28.55,29.00,28.55
2010-07-12,29.05,29.10,29.20,29.00
2010-07-13,28.85,29.05,29.15,28.85
2010-07-14,27.75,27.30,27.75,27.30
2010-07-15,27.50,27.75,27.75,27.50
2010-07-16,27.25,27.55,27.85,26.90
2010-07-19,27.30,27.00,27.30,26.75
2010-07-20,27.50,27.30,27.65,26.90
2010-07-21,27.35,27.60,27.65,27.20
2010-07-22,28.10,27.60,28.25,27.50
2010-07-23,28.50,28.35,28.70,28.10
2010-07-26,28.75,28.80,28.80,28.30
2010-07-27,28.35,28.65,28.80,28.35
2010-07-28,28.65,28.25,28.75,28.20
2010-07-29,29.35,28.80,29.50,28.50
2010-08-02,30.00,29.90,30.50,29.85
2010-08-03,30.30,30.40,30.40,29.85
2010-08-04,29.90,30.30,30.35,29.70
2010-08-05,29.30,29.80,29.95,29.00
2010-08-06,29.80,28.90,29.85,28.75
2010-08-09,30.25,30.40,30.50,30.25
2010-08-10,30.45,30.60,31.10,30.45
2010-08-11,30.40,30.55,30.70,30.30
2010-08-12,30.10,30.05,30.25,29.75
2010-08-13,29.90,30.00,30.10,29.35
2010-08-16,29.35,30.00,30.00,29.00
2010-08-17,28.90,29.35,29.35,28.80
2010-08-18,28.90,29.10,29.25,28.85
2010-08-19,28.75,29.00,29.10,28.65
2010-08-20,28.80,28.65,28.95,28.50
2010-08-23,30.10,29.00,30.40,29.00
2010-08-24,30.00,30.30,30.60,30.00
2010-08-25,29.30,30.00,30.00,29.15
2010-08-26,29.40,29.30,29.60,29.00
2010-08-27,29.70,29.80,29.80,29.45
2010-08-30,29.55,30.10,30.15,29.30
2010-09-01,30.00,29.50,30.10,29.50
2010-09-02,30.95,30.50,31.10,30.50
2010-09-03,31.80,31.00,31.80,31.00
2010-09-06,31.80,32.00,32.20,31.80
2010-09-07,31.30,32.00,32.00,31.20
2010-09-08,31.15,31.20,31.20,30.80
2010-09-09,31.25,31.55,31.55,30.90
2010-09-10,32.00,31.60,32.15,31.60
2010-09-13,32.80,32.50,32.95,32.50
2010-09-14,33.00,33.00,33.00,32.50
2010-09-15,32.90,33.00,33.00,32.30
2010-09-16,32.85,32.90,33.00,32.40
2010-09-17,32.60,32.90,32.95,32.45
2010-09-20,33.40,32.85,33.65,32.85
2010-09-21,33.30,33.60,33.80,32.80
2010-09-23,32.40,33.30,33.30,32.35
2010-09-24,32.30,32.40,32.60,32.00
2010-09-27,33.35,32.35,33.60,32.20
2010-09-28,33.95,33.30,33.95,33.00
2010-09-29,33.15,34.00,34.10,33.15
2010-10-01,33.45,33.30,33.55,32.90
2010-10-04,33.30,33.40,33.75,33.25
2010-10-05,33.25,33.20,33.30,32.85
2010-10-06,34.05,33.40,34.10,33.30
2010-10-07,34.90,34.10,35.20,33.70
2010-10-08,34.35,34.50,34.75,33.75
2010-10-11,33.80,34.45,34.80,33.70
2010-10-12,33.45,33.95,34.00,33.40
2010-10-13,33.50,33.55,33.90,33.35
2010-10-14,34.20,34.00,34.50,33.85
2010-10-15,33.75,34.50,34.50,33.65
2010-10-18,33.30,33.75,33.85,32.95
2010-10-19,32.60,33.30,33.30,32.50
2010-10-20,32.50,32.55,32.95,32.50
2010-10-21,33.00,32.55,33.10,32.35
2010-10-22,33.30,33.15,33.30,32.60
2010-10-25,33.25,33.30,33.65,33.00
2010-10-26,33.50,33.15,33.50,32.80
2010-10-27,33.05,33.50,33.55,32.65
2010-10-28,32.75,33.05,33.40,32.60
2010-11-01,33.00,32.60,33.15,32.60
2010-11-02,33.45,33.20,33.50,33.00
2010-11-03,34.10,33.60,34.20,33.60
2010-11-04,34.10,34.20,34.40,33.95
2010-11-05,33.90,34.25,34.30,33.60
2010-11-08,34.30,34.00,34.45,33.90
2010-11-09,34.10,34.40,34.50,34.00
2010-11-10,34.20,34.30,34.50,34.05
2010-11-11,33.80,34.20,34.30,33.65
2010-11-12,33.20,33.50,33.60,32.85
2010-11-15,32.25,33.15,33.15,32.00
2010-11-16,32.40,32.30,32.40,31.60
2010-11-17,32.20,32.00,32.35,32.00
2010-11-18,32.15,32.20,32.40,32.00
2010-11-19,31.90,32.40,32.45,31.75
2010-11-22,32.15,32.20,32.40,32.05
2010-11-23,31.65,32.10,32.20,31.50
2010-11-24,30.95,31.45,31.60,30.60
2010-11-25,31.45,30.70,31.45,30.50
2010-11-26,30.90,31.15,31.20,30.90
2010-11-29,31.00,31.40,31.40,30.95
2010-12-01,32.20,31.60,32.20,31.35
2010-12-02,32.30,32.60,32.65,31.95
2010-12-03,32.05,32.40,32.40,31.40
2010-12-06,32.00,32.05,32.10,31.65
2010-12-07,33.00,32.00,33.30,31.95
2010-12-08,33.55,33.00,34.05,32.80
2010-12-09,33.15,33.50,33.55,32.95
2010-12-10,33.15,33.05,33.30,33.00
2010-12-13,33.00,33.10,33.35,33.00
2010-12-14,32.70,33.00,33.15,32.55
2010-12-15,33.00,32.70,33.00,32.40
2010-12-16,32.70,33.00,33.00,32.50
2010-12-17,33.00,32.60,33.05,32.60
2010-12-20,32.65,32.95,32.95,32.45
2010-12-21,32.80,32.65,32.80,32.45
2010-12-22,32.80,32.85,32.95,32.60
2010-12-23,33.40,32.80,33.75,32.65
2010-12-24,32.75,32.85,33.00,32.65
2010-12-27,32.40,32.50,32.70,32.15
2010-12-28,32.25,32.40,32.45,32.10
2010-12-29,32.45,32.25,32.45,32.00
2010-12-30,32.45,32.25,32.60,32.25
2011-01-03,33.40,32.95,33.40,32.80
2011-01-04,33.15,33.60,33.65,33.00
2011-01-05,32.40,33.50,33.60,32.25
2011-01-06,32.40,32.50,32.60,32.15
2011-01-07,32.10,32.20,32.50,32.00
2011-01-10,32.45,32.20,32.45,32.05
2011-01-11,32.70,32.50,32.75,32.15
2011-01-12,32.90,33.00,33.20,32.70
2011-01-13,32.85,33.00,33.20,32.60
2011-01-14,32.75,32.80,32.90,32.55
2011-01-17,31.70,32.20,32.50,31.60
2011-01-18,31.35,31.50,31.50,31.05
2011-01-19,31.75,31.35,31.90,31.20
2011-01-20,31.55,31.75,31.80,31.50
2011-01-21,31.70,31.30,31.70,31.10
2011-01-24,31.70,31.90,31.90,31.30
2011-01-25,31.50,31.60,31.85,31.40
2011-01-26,31.55,31.70,31.80,31.45
2011-01-27,31.45,31.75,31.90,31.45
2011-02-08,30.15,31.50,31.50,30.00
2011-02-09,30.10,30.20,30.40,29.95
2011-02-10,29.85,30.10,30.25,29.70
2011-02-11,29.70,30.25,30.25,29.70
2011-02-14,29.80,29.90,29.90,29.60
2011-02-15,30.20,29.60,30.40,29.30
2011-02-16,30.20,30.00,30.30,29.90
2011-02-17,30.05,30.20,30.20,29.80
2011-02-18,30.25,30.40,30.45,30.20
2011-02-21,30.60,30.40,30.85,30.05
2011-02-22,30.00,30.10,30.20,29.80
2011-02-23,29.55,29.80,30.10,29.55
2011-02-24,29.35,29.95,29.95,29.30
2011-03-01,29.45,29.40,29.60,29.35
2011-03-02,29.65,29.45,30.30,29.40
2011-03-03,31.00,29.80,31.25,29.80
2011-03-04,31.35,31.10,31.40,31.00
2011-03-07,31.20,31.30,31.35,30.80
2011-03-08,31.45,31.10,31.65,31.10
2011-03-09,31.60,31.60,31.65,31.30
2011-03-10,31.40,31.60,31.60,31.25
2011-03-11,30.95,30.80,31.20,30.80
2011-03-14,31.75,33.00,33.00,31.55
2011-03-15,30.90,31.80,31.95,29.70
2011-03-16,31.10,30.90,31.45,30.90
2011-03-17,31.45,30.60,31.65,30.55
2011-03-18,32.10,31.70,32.20,31.35
2011-03-21,32.20,32.20,32.50,31.80
2011-03-22,32.45,32.50,32.50,32.10
2011-03-23,33.45,32.50,33.90,32.45
2011-03-24,33.35,33.90,34.10,33.25
2011-03-25,33.50,33.60,33.85,33.50
2011-03-28,34.00,33.80,34.35,33.55
2011-03-29,35.50,34.50,35.75,34.40
2011-03-30,36.00,35.80,36.10,35.50
2011-04-01,36.30,35.50,36.40,35.45
2011-04-06,36.45,37.00,37.00,35.95
2011-04-07,36.40,36.50,36.55,35.70
2011-04-08,37.35,36.40,37.80,36.40
2011-04-11,37.60,37.60,37.60,36.85
2011-04-12,36.65,37.50,37.50,36.10
2011-04-13,36.90,36.65,36.90,36.20
2011-04-14,37.70,37.00,38.30,36.90
2011-04-15,37.25,38.00,38.00,37.20
2011-04-18,37.30,37.30,37.60,37.00
2011-04-19,37.55,36.80,37.65,36.60
2011-04-20,40.15,38.10,40.15,38.00
2011-04-21,40.35,41.10,41.40,39.90
2011-04-22,39.65,40.40,40.40,39.30
2011-04-25,40.00,39.80,40.40,39.80
2011-04-26,40.35,40.00,40.95,39.75
2011-04-27,42.60,41.00,42.90,40.75
2011-04-28,41.55,42.80,42.90,41.20
2011-05-03,40.05,41.80,42.10,39.90
2011-05-04,40.85,40.20,40.85,39.10
2011-05-05,39.85,40.70,40.70,39.85
2011-05-06,38.70,39.00,39.35,38.10
2011-05-09,39.85,38.70,40.20,38.50
2011-05-10,39.60,39.85,39.90,39.20
2011-05-11,39.65,40.00,40.40,39.60
2011-05-12,39.70,39.60,39.85,39.35
2011-05-13,39.60,40.00,40.80,39.55
2011-05-16,39.75,39.60,40.30,39.35
2011-05-17,39.40,40.00,40.00,39.15
2011-05-18,38.80,39.60,39.60,38.55
2011-05-19,38.60,38.80,39.30,38.40
